senadores,quantidade_reembolso
CARLOS VIANA,2019
WELLINGTON FAGUNDES,1893
JAQUES WAGNER,1875
HUMBERTO COSTA,1704
PAULO PAIM,1658
ZEQUINHA MARINHO,1647
LUIS CARLOS HEINZE,1634
TELMÁRIO MOTA,1474
JORGINHO MELLO,1307
FABIANO CONTARATO,1295
FLÁVIO ARNS,1291
ESPERIDIÃO AMIN,1259
FERNANDO BEZERRA COELHO,1244
CONFÚCIO MOURA,1210
JEAN PAUL PRATES,1168
JOSÉ SERRA,1144
ELMANO FÉRRER,1141
MAJOR OLIMPIO,1123
JARBAS VASCONCELOS,1079
MARA GABRILLI,1072
ROGÉRIO CARVALHO,1069
ANTONIO ANASTASIA,1021
SORAYA THRONICKE,974
PAULO ROCHA,957
MARCOS ROGÉRIO,947
DÁRIO BERGER,937
RODRIGO PACHECO,904
WEVERTON ROCHA,898
LUCAS BARRETO,856
DANIELLA RIBEIRO,845
EDUARDO GOMES,843
ZENAIDE MAIA,829
ALESSANDRO VIEIRA,822
VENEZIANO VITAL DO RÊGO,815
CARLOS FÁVARO,792
MAILZA GOMES,765
LASIER MARTINS,755
SIMONE TEBET,752
RODRIGO CUNHA,723
MARCELO CASTRO,695
RANDOLFE RODRIGUES,644
ACIR GURGACZ,637
ROBERTO ROCHA,623
MARCOS DO VAL,605
ROMÁRIO,596
RENAN CALHEIROS,589
ROSE DE FREITAS,588
CID GOMES,560
FLÁVIO BOLSONARO,533
GIORDANO,514
PLÍNIO VALÉRIO,484
CHICO RODRIGUES,470
CARLOS PORTINHO,468
MECIAS DE JESUS,461
CIRO NOGUEIRA,458
KÁTIA ABREU,457
OTTO ALENCAR,456
NELSINHO TRAD,453
JUÍZA SELMA,452
JAYME CAMPOS,438
IRAJÁ,424
ELIZIANE GAMA,406
MARIA DO CARMO ALVES,357
ANGELO CORONEL,353
JOSÉ MARANHÃO,342
SÉRGIO PETECÃO,341
MARCIO BITTAR,335
EDUARDO BRAGA,330
AROLDE DE OLIVEIRA,316
LUIZ CARLOS DO CARMO,290
NILDA GONDIM,272
DAVI ALCOLUMBRE,231
OMAR AZIZ,205
FERNANDO COLLOR,200
VANDERLAN CARDOSO,192
STYVENSON VALENTIM,182
ALEXANDRE SILVEIRA,159
IZALCI LUCAS,158
ALVARO DIAS,133
ELIANE NOGUEIRA,112
TASSO JEREISSATI,96
JOSÉ ANÍBAL,91
DIEGO TAVARES,74
PAULO ALBUQUERQUE,73
LÍDICE DA MATA,71
JADER BARBALHO,71
ORIOVISTO GUIMARÃES,68
MARGARETH BUZETTI,57
JORGE VIANA,47
GLEISI HOFFMANN,46
PRISCO BEZERRA,40
FABIO GARCIA,33
ANA AMÉLIA,33
EDUARDO GIRÃO,33
DRA. EUDÓCIA,30
LÚCIA VÂNIA,30
CHIQUINHO FEITOSA,29
MARIA ELIZA DE AGUIAR E SILVA,29
ROBERTO REQUIÃO,28
GUARACY SILVEIRA,28
LUIZ PASTORE,28
PAULO BAUER,27
ARMANDO MONTEIRO,24
RENILDE BULHÕES,23
RAFAEL TENÓRIO,23
ALOYSIO NUNES FERREIRA,22
ROMERO JUCÁ,19
RICARDO FERRAÇO,19
WALTER PINHEIRO,19
MARIA DAS VITÓRIAS,17
FLEXA RIBEIRO,17
WILDER MORAIS,16
MARTA SUPLICY,16
JOSÉ MEDEIROS,15
AÉCIO NEVES,15
NEY SUASSUNA,15
JOSÉ PIMENTEL,14
EDUARDO AMORIM,14
GARIBALDI ALVES FILHO,14
PEDRO CHAVES DOS SANTOS FILHO,13
DALIRIO BEBER,13
CÁSSIO CUNHA LIMA,13
JOSÉ AGRIPINO,12
RAIMUNDO LIRA,12
ZÉ SANTANA,11
ZEZÉ PERRELLA,10
EDUARDO VELLOSO,10
JOÃO CAPIBERIBE,9
ANTÔNIO CARLOS VALADARES,9
WALDEMIR MOKA,8
ATAÍDES OLIVEIRA,8
BENEDITO DE LIRA,8
IVO CASSOL,8
VANESSA GRAZZIOTIN,7
LINDBERGH FARIAS,7
VALDIR RAUPP,6
BLAIRO MAGGI,6
OGARI PACHECO,5
ÂNGELA PORTELA,5
SIQUEIRA CAMPOS,4
MAGNO MALTA,4
HÉLIO JOSÉ,3
VIRGINIO DE CARVALHO,3
JOÃO ALBERTO SOUZA,3
ROBERTH BRINGEL,3
EDISON LOBÃO,2
NAILDE PANTA,1
VICENTINHO ALVES,1
